ダウンロードした時刻：2026/07/07 21:46:20

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,平年値(℃),平年値(℃),,,日,日,,平年値(℃),平年値(℃),,,日,日,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報
1979/11,14.3,8,1,,1,25.3,8,1979/11/2,8,1,,0,5.1,8,1979/11/20,8,1,,0
1979/12,10.1,8,1,,1,18.7,8,1979/12/5,8,1,,0,3.3,8,1979/12/18,8,1,,0
1980/1,5.6,8,1,,1,18.8,8,1980/1/28,8,1,,0,-1.1,8,1980/1/23,8,1,,0
1980/2,5.2,8,1,,1,13.3,8,1980/2/29,8,1,,0,-1.2,8,1980/2/15,8,1,,0
1980/3,8.2,8,1,,1,21.2,8,1980/3/30,8,1,,0,1.3,8,1980/3/23,8,1,,0
1980/4,13.6,8,1,,1,24.0,8,1980/4/28,8,1,,0,4.6,8,1980/4/17,8,1,,0
1980/5,19.2,8,1,,1,29.5,8,1980/5/29,8,1,,0,9.6,8,1980/5/2,8,1,,0
1980/6,23.6,8,1,,1,31.6,8,1980/6/18,8,1,,0,17.7,8,1980/6/30,8,1,,0
1980/7,23.8,8,1,,1,33.0,8,1980/7/23,8,1,,0,16.4,8,1980/7/2,8,1,,0
1980/8,23.4,8,1,,1,32.2,8,1980/8/15,8,1,,0,17.6,8,1980/8/27,8,1,,0
1980/9,23.0,8,1,,1,31.9,8,1980/9/6,8,1,,0,13.2,8,1980/9/27,8,1,,0
1980/10,18.2,8,1,,1,28.8,8,1980/10/8,8,1,,0,8.7,8,1980/10/30,8,1,,0
1980/11,13.0,8,1,,1,21.8,8,1980/11/13,8,1,,0,5.1,8,1980/11/4,8,1,,0
1980/12,7.7,8,1,,1,19.3,8,1980/12/3,8,1,,0,-0.7,8,1980/12/29,8,1,,0
1981/1,4.4,8,1,,1,12.0,8,1981/1/10,8,1,,0,-2.2,8,1981/1/14,8,1,,0
1981/2,5.3,8,1,,1,17.2,8,1981/2/16,8,1,,0,-3.5,8,1981/2/27,8,1,,0
1981/3,9.0,8,1,,1,20.6,8,1981/3/26,8,1,,0,0.2,8,1981/3/2,8,1,,0
1981/4,13.9,8,1,,1,23.9,8,1981/4/24,8,1,,0,2.7,8,1981/4/1,8,1,,0
1981/5,17.5,8,1,,1,28.4,8,1981/5/23,8,1,,0,10.2,8,1981/5/18,8,1,,0
1981/6,20.2,8,1,,1,32.0,8,1981/6/29,8,1,,0,12.4,8,1981/6/21,8,1,,0
1981/7,26.3,8,1,,1,34.3,8,1981/7/17,8,1,,0,17.0,8,1981/7/1,8,1,,0
1981/8,26.2,8,1,,1,33.9,8,1981/8/31,8,1,,0,20.0,8,1981/8/17,8,1,,0
1981/9,21.8,8,1,,1,31.6,8,1981/9/2,8,1,,0,15.6,8,1981/9/20,8,1,,0
1981/10,17.6,8,1,,1,26.7,8,1981/10/2,8,1,,0,10.1,8,1981/10/28,8,1,,0
1981/11,10.4,8,1,,1,21.4,8,1981/11/1,8,1,,0,2.4,8,1981/11/30,8,1,,0
1981/12,7.6,8,1,,1,16.2,8,1981/12/28,8,1,,0,0.4,8,1981/12/15,8,1,,0
1982/1,5.8,8,1,,1,16.8,8,1982/1/5,8,1,,0,-1.0,8,1982/1/30,8,1,,0
1982/2,5.5,8,1,,1,13.1,8,1982/2/21,8,1,,0,-1.0,8,1982/2/8,8,1,,0
1982/3,9.9,8,1,,1,21.3,8,1982/3/16,8,1,,0,1.2,8,1982/3/3,8,1,,0
1982/4,14.0,8,1,,1,23.2,8,1982/4/30,8,1,,0,4.7,8,1982/4/5,8,1,,0
1982/5,20.7,8,1,,1,28.7,8,1982/5/13,8,1,,0,11.9,8,1982/5/15,8,1,,0
1982/6,21.4,8,1,,1,29.4,8,1982/6/12,8,1,,0,14.8,8,1982/6/27,8,1,,0
1982/7,23.1,8,1,,1,31.2,8,1982/7/12,8,1,,0,16.1,8,1982/7/3,8,1,,0
1982/8,27.1,8,1,,1,33.0,8,1982/8/22,8,1,,0,22.0,8,1982/8/13,8,1,,0
1982/9,22.3,8,1,,1,31.3,8,1982/9/1,8,1,,0,17.0,8,1982/9/20,8,1,,0
1982/10,18.0,8,1,,1,27.3,8,1982/10/20,8,1,,0,9.5,8,1982/10/27,8,1,,0
1982/11,14.3,8,1,,1,25.3,8,1982/11/1,8,1,,0,3.5,8,1982/11/29,8,1,,0
1982/12,9.5,8,1,,1,20.9,8,1982/12/11,8,1,,0,1.4,8,1982/12/20,8,1,,0
1983/1,6.2,8,1,,1,16.5,8,1983/1/30,8,1,,0,-2.4,8,1983/1/23,8,1,,0
1983/2,6.1,8,1,,1,15.0,8,1983/2/6,8,1,,0,-0.9,8,1983/2/13,8,1,,0
1983/3,8.6,8,1,,1,17.2,8,1983/3/3,8,1,,0,1.3,8,1983/3/9,8,1,,0
1983/4,15.9,8,1,,1,26.8,8,1983/4/25,8,1,,0,7.8,8,1983/4/1,8,1,,0
1983/5,19.7,8,1,,1,28.5,8,1983/5/7,8,1,,0,11.0,8,1983/5/26,8,1,,0
1983/6,20.5,8,1,,1,29.8,8,1983/6/1,8,1,,0,13.6,8,1983/6/5,8,1,,0
1983/7,23.8,8,1,,1,32.9,8,1983/7/28,8,1,,0,15.1,8,1983/7/8,8,1,,0
1983/8,27.5,8,1,,1,37.1,8,1983/8/19,8,1,,0,21.2,8,1983/8/25,8,1,,0
1983/9,23.1,8,1,,1,33.3,8,1983/9/5,8,1,,0,14.9,8,1983/9/29,8,1,,0
1983/10,17.7,8,1,,1,27.9,8,1983/10/5,8,1,,0,7.3,8,1983/10/31,8,1,,0
1983/11,12.3,8,1,,1,21.6,8,1983/11/12,8,1,,0,2.2,8,1983/11/23,8,1,,0
